source,target,value,sourcecont,targetcont
India,Afghanistan,418.0,AS,AS
India,Afghanistan,63094.0,AS,AS
Kazakhstan,Afghanistan,64.0,AS,AS
Kazakhstan,Afghanistan,408308.0,AS,AS
Kyrgyzstan,Afghanistan,2.0,AS,AS
Kyrgyzstan,Afghanistan,608.0,AS,AS
Pakistan,Afghanistan,133836.0,AS,AS
Pakistan,Afghanistan,737203.0,AS,AS
Turkey,Afghanistan,50.0,AS,AS
Turkey,Afghanistan,23533.0,AS,AS
United Arab Emirates,Afghanistan,40.0,AS,AS
United Arab Emirates,Afghanistan,74075.0,AS,AS
Indonesia,Afghanistan,2276.0,AS,AS
Malaysia,Afghanistan,77650.0,AS,AS
Sri Lanka,Afghanistan,128.0,AS,AS
Thailand,Afghanistan,226.0,AS,AS
Georgia,Afghanistan,24.0,AS,AS
Japan,Afghanistan,453.0,AS,AS
Philippines,Afghanistan,344.0,AS,AS
Singapore,Afghanistan,457.0,AS,AS
Bahrain,Afghanistan,254.0,AS,AS
Qatar,Afghanistan,92.0,AS,AS
India,Albania,6201.0,AS,EU
India,Albania,4929.0,AS,EU
Kazakhstan,Albania,12.0,AS,EU
Pakistan,Albania,1303.0,AS,EU
Pakistan,Albania,1851.0,AS,EU
Turkey,Albania,30409.0,AS,EU
Turkey,Albania,30646.0,AS,EU
United Arab Emirates,Albania,47.0,AS,EU
Cyprus,Albania,26.0,AS,EU
Cyprus,Albania,60.0,AS,EU
Indonesia,Albania,1035.0,AS,EU
Indonesia,Albania,1203.0,AS,EU
Malaysia,Albania,827.0,AS,EU
Malaysia,Albania,1199.0,AS,EU
Sri Lanka,Albania,64.0,AS,EU
Sri Lanka,Albania,6305.0,AS,EU
Thailand,Albania,358.0,AS,EU
Thailand,Albania,253.0,AS,EU
Viet Nam,Albania,2388.0,AS,EU
Georgia,Albania,78.0,AS,EU
Lebanon,Albania,2.0,AS,EU
Kuwait,Albania,25.0,AS,EU
India,Algeria,218884.0,AS,AF
India,Algeria,90522.0,AS,AF
Kazakhstan,Algeria,1320.0,AS,AF
Kyrgyzstan,Algeria,736.0,AS,AF
Pakistan,Algeria,7332.0,AS,AF
Pakistan,Algeria,5683.0,AS,AF
Turkey,Algeria,125955.0,AS,AF
Turkey,Algeria,124252.0,AS,AF
United Arab Emirates,Algeria,5434.0,AS,AF
United Arab Emirates,Algeria,11989.0,AS,AF
Cyprus,Algeria,3920.0,AS,AF
Indonesia,Algeria,71654.0,AS,AF
Indonesia,Algeria,90119.0,AS,AF
Malaysia,Algeria,17240.0,AS,AF
Malaysia,Algeria,40960.0,AS,AF
Sri Lanka,Algeria,246.0,AS,AF
Sri Lanka,Algeria,313.0,AS,AF
Thailand,Algeria,19778.0,AS,AF
Thailand,Algeria,25883.0,AS,AF
Viet Nam,Algeria,157824.0,AS,AF
Afghanistan,Algeria,28.0,AS,AF
Azerbaijan,Algeria,120.0,AS,AF
Cambodia,Algeria,71.0,AS,AF
Cambodia,Algeria,53.0,AS,AF
Georgia,Algeria,297.0,AS,AF
Georgia,Algeria,373.0,AS,AF
Iraq,Algeria,133.0,AS,AF
Japan,Algeria,11.0,AS,AF
Jordan,Algeria,3955.0,AS,AF
Jordan,Algeria,3394.0,AS,AF
Lebanon,Algeria,5526.0,AS,AF
Lebanon,Algeria,4501.0,AS,AF
Myanmar,Algeria,21.0,AS,AF
Oman,Algeria,765.0,AS,AF
Oman,Algeria,313.0,AS,AF
Philippines,Algeria,1076.0,AS,AF
Philippines,Algeria,1431.0,AS,AF
Saudi Arabia,Algeria,3754.0,AS,AF
Singapore,Algeria,265.0,AS,AF
Singapore,Algeria,1485.0,AS,AF
Syrian Arab Republic,Algeria,19508.0,AS,AF
Tajikistan,Algeria,3955.0,AS,AF
Uzbekistan,Algeria,44.0,AS,AF
Armenia,Algeria,108.0,AS,AF
India,Antigua and Barbuda,18.0,AS,
Pakistan,Antigua and Barbuda,13.0,AS,
Turkey,Antigua and Barbuda,94.0,AS,
Turkey,Antigua and Barbuda,40.0,AS,
United Arab Emirates,Antigua and Barbuda,30.0,AS,
United Arab Emirates,Antigua and Barbuda,143.0,AS,
Cyprus,Antigua and Barbuda,359.0,AS,
Cyprus,Antigua and Barbuda,5.0,AS,
Indonesia,Antigua and Barbuda,36.0,AS,
Indonesia,Antigua and Barbuda,75.0,AS,
Malaysia,Antigua and Barbuda,355.0,AS,
Malaysia,Antigua and Barbuda,434.0,AS,
Sri Lanka,Antigua and Barbuda,23.0,AS,
Thailand,Antigua and Barbuda,156.0,AS,
Thailand,Antigua and Barbuda,10.0,AS,
Georgia,Antigua and Barbuda,14.0,AS,
Philippines,Antigua and Barbuda,46.0,AS,
Philippines,Antigua and Barbuda,16.0,AS,
Saudi Arabia,Antigua and Barbuda,25.0,AS,
Syrian Arab Republic,Antigua and Barbuda,4.0,AS,
Bahrain,Antigua and Barbuda,16.0,AS,
India,Argentina,17986.0,AS,SA
India,Argentina,16047.0,AS,SA
Pakistan,Argentina,41.0,AS,SA
Pakistan,Argentina,21.0,AS,SA
Turkey,Argentina,12603.0,AS,SA
Turkey,Argentina,10220.0,AS,SA
United Arab Emirates,Argentina,59.0,AS,SA
United Arab Emirates,Argentina,313.0,AS,SA
Cyprus,Argentina,2.0,AS,SA
Indonesia,Argentina,60347.0,AS,SA
Indonesia,Argentina,54396.0,AS,SA
Malaysia,Argentina,20265.0,AS,SA
Malaysia,Argentina,15910.0,AS,SA
Sri Lanka,Argentina,1574.0,AS,SA
Sri Lanka,Argentina,1175.0,AS,SA
Thailand,Argentina,11287.0,AS,SA
Thailand,Argentina,10294.0,AS,SA
Viet Nam,Argentina,10600.0,AS,SA
Japan,Argentina,396.0,AS,SA
Japan,Argentina,407.0,AS,SA
Jordan,Argentina,30.0,AS,SA
Lebanon,Argentina,122.0,AS,SA
Lebanon,Argentina,117.0,AS,SA
Philippines,Argentina,7785.0,AS,SA
Philippines,Argentina,6258.0,AS,SA
Singapore,Argentina,876.0,AS,SA
Singapore,Argentina,1593.0,AS,SA
Uzbekistan,Argentina,314.0,AS,SA
Israel,Argentina,930.0,AS,SA
Israel,Argentina,1211.0,AS,SA
India,Armenia,18519.0,AS,AS
India,Armenia,12262.0,AS,AS
Kazakhstan,Armenia,66.0,AS,AS
Kazakhstan,Armenia,33.0,AS,AS
Pakistan,Armenia,1227.0,AS,AS
Turkey,Armenia,2240.0,AS,AS
United Arab Emirates,Armenia,838.0,AS,AS
United Arab Emirates,Armenia,1885.0,AS,AS
Cyprus,Armenia,144.0,AS,AS
Cyprus,Armenia,115.0,AS,AS
Indonesia,Armenia,237.0,AS,AS
Indonesia,Armenia,1658.0,AS,AS
Malaysia,Armenia,1965.0,AS,AS
Malaysia,Armenia,81.0,AS,AS
Sri Lanka,Armenia,4.0,AS,AS
Sri Lanka,Armenia,230.0,AS,AS
Thailand,Armenia,3485.0,AS,AS
Thailand,Armenia,263.0,AS,AS
Viet Nam,Armenia,604.0,AS,AS
Georgia,Armenia,27369.0,AS,AS
Georgia,Armenia,41335.0,AS,AS
Japan,Armenia,17.0,AS,AS
Jordan,Armenia,4.0,AS,AS
Jordan,Armenia,5.0,AS,AS
Lebanon,Armenia,156.0,AS,AS
Lebanon,Armenia,294.0,AS,AS
Philippines,Armenia,51.0,AS,AS
Saudi Arabia,Armenia,27.0,AS,AS
Singapore,Armenia,80.0,AS,AS
Singapore,Armenia,106.0,AS,AS
Syrian Arab Republic,Armenia,108.0,AS,AS
Uzbekistan,Armenia,24.0,AS,AS
Israel,Armenia,603.0,AS,AS
Israel,Armenia,423.0,AS,AS
Bangladesh,Armenia,3591.0,AS,AS
Kuwait,Armenia,3.0,AS,AS
Turkmenistan,Armenia,102.0,AS,AS
India,Australia,213172.0,AS,OC
India,Australia,206285.0,AS,OC
Kyrgyzstan,Australia,1.0,AS,OC
Pakistan,Australia,26825.0,AS,OC
Pakistan,Australia,26245.0,AS,OC
Turkey,Australia,114668.0,AS,OC
Turkey,Australia,108632.0,AS,OC
United Arab Emirates,Australia,18818.0,AS,OC
United Arab Emirates,Australia,10089.0,AS,OC
Cyprus,Australia,12730.0,AS,OC
Cyprus,Australia,12230.0,AS,OC
Indonesia,Australia,200008.0,AS,OC
Indonesia,Australia,177010.0,AS,OC
Malaysia,Australia,393883.0,AS,OC
Malaysia,Australia,436708.0,AS,OC
Sri Lanka,Australia,52443.0,AS,OC
Sri Lanka,Australia,51344.0,AS,OC
Thailand,Australia,478573.0,AS,OC
Thailand,Australia,457937.0,AS,OC
Viet Nam,Australia,243609.0,AS,OC
Afghanistan,Australia,84.0,AS,OC
Azerbaijan,Australia,120.0,AS,OC
Cambodia,Australia,1565.0,AS,OC
Cambodia,Australia,1084.0,AS,OC
Georgia,Australia,860.0,AS,OC
Georgia,Australia,950.0,AS,OC
Japan,Australia,93339.0,AS,OC
Japan,Australia,94462.0,AS,OC
Jordan,Australia,1902.0,AS,OC
Jordan,Australia,1784.0,AS,OC
Lebanon,Australia,9069.0,AS,OC
Lebanon,Australia,10928.0,AS,OC
Myanmar,Australia,2525.0,AS,OC
Oman,Australia,685.0,AS,OC
Oman,Australia,286.0,AS,OC
Philippines,Australia,58298.0,AS,OC
Philippines,Australia,55401.0,AS,OC
Saudi Arabia,Australia,1455.0,AS,OC
Singapore,Australia,692580.0,AS,OC
Singapore,Australia,844256.0,AS,OC
Syrian Arab Republic,Australia,1009.0,AS,OC
Tajikistan,Australia,10.0,AS,OC
Uzbekistan,Australia,3.0,AS,OC
Israel,Australia,20135.0,AS,OC
Israel,Australia,21538.0,AS,OC
Bangladesh,Australia,2022.0,AS,OC
Bangladesh,Australia,349.0,AS,OC
Kuwait,Australia,60.0,AS,OC
Kuwait,Australia,355.0,AS,OC
Armenia,Australia,9.0,AS,OC
Armenia,Australia,28.0,AS,OC
Bahrain,Australia,72.0,AS,OC
Bahrain,Australia,216.0,AS,OC
Nepal,Australia,487.0,AS,OC
Nepal,Australia,14.0,AS,OC
Qatar,Australia,1.0,AS,OC
Timor-Leste,Australia,694.0,AS,OC
Yemen,Australia,15.0,AS,OC
Mongolia,Australia,4.0,AS,OC
India,Austria,28586.0,AS,EU
India,Austria,8862.0,AS,EU
Kazakhstan,Austria,721.0,AS,EU
Kazakhstan,Austria,195.0,AS,EU
Kyrgyzstan,Austria,67.0,AS,EU
Kyrgyzstan,Austria,2.0,AS,EU
Pakistan,Austria,321.0,AS,EU
Pakistan,Austria,205.0,AS,EU
Turkey,Austria,363135.0,AS,EU
Turkey,Austria,124107.0,AS,EU
United Arab Emirates,Austria,1247.0,AS,EU
United Arab Emirates,Austria,474.0,AS,EU
Cyprus,Austria,14088.0,AS,EU
Cyprus,Austria,8957.0,AS,EU
Indonesia,Austria,5940.0,AS,EU
Indonesia,Austria,1580.0,AS,EU
Malaysia,Austria,1737.0,AS,EU
Malaysia,Austria,778.0,AS,EU
Sri Lanka,Austria,2477.0,AS,EU
Sri Lanka,Austria,3181.0,AS,EU
Thailand,Austria,10716.0,AS,EU
Thailand,Austria,7443.0,AS,EU
Viet Nam,Austria,6964.0,AS,EU
Afghanistan,Austria,52.0,AS,EU
Azerbaijan,Austria,202.0,AS,EU
Cambodia,Austria,1226.0,AS,EU
Cambodia,Austria,438.0,AS,EU
Georgia,Austria,264.0,AS,EU
Georgia,Austria,109.0,AS,EU
Iraq,Austria,15.0,AS,EU
Japan,Austria,3094.0,AS,EU
Japan,Austria,1725.0,AS,EU
Jordan,Austria,373.0,AS,EU
Jordan,Austria,249.0,AS,EU
Lebanon,Austria,1817.0,AS,EU
Lebanon,Austria,1108.0,AS,EU
Oman,Austria,9.0,AS,EU
Philippines,Austria,4207.0,AS,EU
Philippines,Austria,853.0,AS,EU
Saudi Arabia,Austria,45.0,AS,EU
Singapore,Austria,5558.0,AS,EU
Singapore,Austria,332.0,AS,EU
Syrian Arab Republic,Austria,851.0,AS,EU
Uzbekistan,Austria,1007.0,AS,EU
Israel,Austria,2072.0,AS,EU
Israel,Austria,2005.0,AS,EU
Kuwait,Austria,3.0,AS,EU
Armenia,Austria,112.0,AS,EU
Armenia,Austria,39.0,AS,EU
Nepal,Austria,79.0,AS,EU
Mongolia,Austria,1783.0,AS,EU
Mongolia,Austria,500.0,AS,EU
India,Azerbaijan,11663.0,AS,AS
India,Azerbaijan,12139.0,AS,AS
Kazakhstan,Azerbaijan,68.0,AS,AS
Kazakhstan,Azerbaijan,11040.0,AS,AS
Kyrgyzstan,Azerbaijan,241.0,AS,AS
Pakistan,Azerbaijan,60150.0,AS,AS
Pakistan,Azerbaijan,60279.0,AS,AS
Turkey,Azerbaijan,45.0,AS,AS
Turkey,Azerbaijan,116079.0,AS,AS
United Arab Emirates,Azerbaijan,4.0,AS,AS
United Arab Emirates,Azerbaijan,6939.0,AS,AS
Malaysia,Azerbaijan,1980.0,AS,AS
Sri Lanka,Azerbaijan,45197.0,AS,AS
Thailand,Azerbaijan,418.0,AS,AS
Georgia,Azerbaijan,30.0,AS,AS
Georgia,Azerbaijan,29303.0,AS,AS
Jordan,Azerbaijan,354.0,AS,AS
Lebanon,Azerbaijan,394.0,AS,AS
Singapore,Azerbaijan,122.0,AS,AS
Israel,Azerbaijan,1049.0,AS,AS
India,Bahrain,154854.0,AS,AS
India,Bahrain,106722.0,AS,AS
Kyrgyzstan,Bahrain,1.0,AS,AS
Pakistan,Bahrain,41144.0,AS,AS
Pakistan,Bahrain,36344.0,AS,AS
Turkey,Bahrain,107836.0,AS,AS
Turkey,Bahrain,91300.0,AS,AS
United Arab Emirates,Bahrain,101453.0,AS,AS
United Arab Emirates,Bahrain,45085.0,AS,AS
Cyprus,Bahrain,2592.0,AS,AS
Cyprus,Bahrain,2074.0,AS,AS
Indonesia,Bahrain,5624.0,AS,AS
Indonesia,Bahrain,3843.0,AS,AS
Malaysia,Bahrain,22033.0,AS,AS
Malaysia,Bahrain,19540.0,AS,AS
Sri Lanka,Bahrain,3701.0,AS,AS
Sri Lanka,Bahrain,8082.0,AS,AS
Thailand,Bahrain,22749.0,AS,AS
Thailand,Bahrain,15893.0,AS,AS
Viet Nam,Bahrain,4781.0,AS,AS
Afghanistan,Bahrain,211.0,AS,AS
Azerbaijan,Bahrain,177.0,AS,AS
Georgia,Bahrain,63.0,AS,AS
Georgia,Bahrain,16.0,AS,AS
Iraq,Bahrain,97.0,AS,AS
Japan,Bahrain,1472.0,AS,AS
Japan,Bahrain,932.0,AS,AS
Jordan,Bahrain,25337.0,AS,AS
Jordan,Bahrain,46182.0,AS,AS
Lebanon,Bahrain,9033.0,AS,AS
Lebanon,Bahrain,8248.0,AS,AS
Myanmar,Bahrain,192.0,AS,AS
Oman,Bahrain,25513.0,AS,AS
Oman,Bahrain,32773.0,AS,AS
