source,target,value,sourcecont,targetcont
Australia,Afghanistan,659.0,OC,AS
New Zealand,Afghanistan,406.0,OC,AS
Australia,Albania,1057.0,OC,EU
New Zealand,Albania,125.0,OC,EU
Australia,Algeria,6270.0,OC,AF
Australia,Algeria,4611.0,OC,AF
New Zealand,Algeria,365202.0,OC,AF
New Zealand,Algeria,483310.0,OC,AF
Australia,Antigua and Barbuda,406.0,OC,
Australia,Antigua and Barbuda,292.0,OC,
New Zealand,Antigua and Barbuda,440.0,OC,
New Zealand,Antigua and Barbuda,411.0,OC,
Fiji,Antigua and Barbuda,37.0,OC,
Guam,Antigua and Barbuda,1.0,OC,
Australia,Argentina,7848.0,OC,SA
Australia,Argentina,3872.0,OC,SA
New Zealand,Argentina,3437.0,OC,SA
New Zealand,Argentina,2438.0,OC,SA
Fiji,Argentina,21.0,OC,SA
Fiji,Argentina,11.0,OC,SA
Papua New Guinea,Argentina,2.0,OC,SA
Australia,Armenia,21.0,OC,AS
New Zealand,Armenia,8.0,OC,AS
New Zealand,Armenia,10776.0,OC,AS
Fiji,Armenia,3.0,OC,AS
American Samoa,Armenia,2.0,OC,AS
Australia,Australia,28554.0,OC,OC
New Zealand,Australia,2535083.0,OC,OC
New Zealand,Australia,2273672.0,OC,OC
Fiji,Australia,9681.0,OC,OC
Fiji,Australia,13137.0,OC,OC
Papua New Guinea,Australia,33408.0,OC,OC
American Samoa,Australia,6.0,OC,OC
Cook Islands,Australia,7.0,OC,OC
French Polynesia,Australia,48.0,OC,OC
French Polynesia,Australia,10.0,OC,OC
Marshall Islands,Australia,154.0,OC,OC
New Caledonia,Australia,520.0,OC,OC
Niue,Australia,4.0,OC,OC
Samoa,Australia,707.0,OC,OC
Solomon Islands,Australia,727.0,OC,OC
Tonga,Australia,1081.0,OC,OC
Vanuatu,Australia,906.0,OC,OC
Kiribati,Australia,19.0,OC,OC
Australia,Austria,2564.0,OC,EU
Australia,Austria,447.0,OC,EU
New Zealand,Austria,3292.0,OC,EU
New Zealand,Austria,3869.0,OC,EU
Fiji,Austria,22.0,OC,EU
French Polynesia,Austria,15.0,OC,EU
Australia,Azerbaijan,79.0,OC,AS
New Zealand,Azerbaijan,36575.0,OC,AS
Australia,Bahrain,99788.0,OC,AS
Australia,Bahrain,67553.0,OC,AS
New Zealand,Bahrain,51968.0,OC,AS
New Zealand,Bahrain,40636.0,OC,AS
Fiji,Bahrain,70.0,OC,AS
Fiji,Bahrain,22.0,OC,AS
Guam,Bahrain,92.0,OC,AS
Papua New Guinea,Bahrain,4.0,OC,AS
American Samoa,Bahrain,3.0,OC,AS
French Polynesia,Bahrain,14.0,OC,AS
Vanuatu,Bahrain,4.0,OC,AS
Tokelau,Bahrain,103.0,OC,AS
Australia,Bangladesh,478556.0,OC,AS
New Zealand,Bangladesh,109280.0,OC,AS
Australia,Barbados,1113.0,OC,
Australia,Barbados,754.0,OC,
New Zealand,Barbados,15432.0,OC,
New Zealand,Barbados,14821.0,OC,
Guam,Barbados,1.0,OC,
Tokelau,Barbados,17.0,OC,
Nauru,Barbados,5.0,OC,
Australia,Belarus,195.0,OC,EU
New Zealand,Belarus,295.0,OC,EU
New Zealand,Belarus,46.0,OC,EU
Papua New Guinea,Belarus,4.0,OC,EU
Australia,Belgium,286282.0,OC,EU
Australia,Belgium,335881.0,OC,EU
New Zealand,Belgium,280321.0,OC,EU
New Zealand,Belgium,101304.0,OC,EU
Papua New Guinea,Belgium,51469.0,OC,EU
French Polynesia,Belgium,11.0,OC,EU
New Caledonia,Belgium,185.0,OC,EU
Vanuatu,Belgium,2.0,OC,EU
Australia,Benin,283.0,OC,AF
Australia,Benin,84.0,OC,AF
New Zealand,Benin,54.0,OC,AF
New Zealand,Benin,149.0,OC,AF
Marshall Islands,Benin,173.0,OC,AF
Tokelau,Benin,2.0,OC,AF
Australia,Bermuda,737.0,OC,
Australia,Bermuda,197.0,OC,
New Zealand,Bermuda,1785.0,OC,
New Zealand,Bermuda,2839.0,OC,
New Zealand,Bhutan,554.0,OC,AS
Australia,Bosnia and Herzegovina,265.0,OC,EU
Australia,Bosnia and Herzegovina,139.0,OC,EU
New Zealand,Bosnia and Herzegovina,5.0,OC,EU
Fiji,Bosnia and Herzegovina,5.0,OC,EU
French Polynesia,Bosnia and Herzegovina,11.0,OC,EU
Australia,Botswana,2876.0,OC,AF
Australia,Brazil,13545.0,OC,SA
Australia,Brazil,11408.0,OC,SA
New Zealand,Brazil,17728.0,OC,SA
New Zealand,Brazil,22046.0,OC,SA
Fiji,Brazil,7.0,OC,SA
Papua New Guinea,Brazil,15.0,OC,SA
Australia,Brunei Darussalam,22503.0,OC,AS
New Zealand,Brunei Darussalam,2677.0,OC,AS
Australia,Bulgaria,241.0,OC,EU
Australia,Bulgaria,61.0,OC,EU
New Zealand,Bulgaria,6573.0,OC,EU
New Zealand,Bulgaria,4821.0,OC,EU
Australia,Burkina Faso,125.0,OC,AF
New Zealand,Burkina Faso,1763.0,OC,AF
New Zealand,Burkina Faso,1522.0,OC,AF
Australia,Cambodia,20272.0,OC,AS
Australia,Cambodia,23101.0,OC,AS
New Zealand,Cambodia,2306.0,OC,AS
New Zealand,Cambodia,4554.0,OC,AS
Fiji,Cambodia,66.0,OC,AS
Fiji,Cambodia,99.0,OC,AS
Australia,Cameroon,155.0,OC,AF
New Zealand,Cameroon,6968.0,OC,AF
Australia,Canada,431009.0,OC,
Australia,Canada,337285.0,OC,
New Zealand,Canada,322099.0,OC,
New Zealand,Canada,279461.0,OC,
Fiji,Canada,3146.0,OC,
Fiji,Canada,3251.0,OC,
Guam,Canada,24.0,OC,
Papua New Guinea,Canada,2147.0,OC,
Cook Islands,Canada,8.0,OC,
French Polynesia,Canada,137.0,OC,
New Caledonia,Canada,71.0,OC,
Solomon Islands,Canada,92.0,OC,
Tonga,Canada,2.0,OC,
Vanuatu,Canada,5.0,OC,
Australia,Chile,1929.0,OC,SA
Australia,Chile,1709.0,OC,SA
New Zealand,Chile,45066.0,OC,SA
New Zealand,Chile,44805.0,OC,SA
Australia,Colombia,347.0,OC,SA
Australia,Colombia,596.0,OC,SA
New Zealand,Colombia,511.0,OC,SA
New Zealand,Colombia,1478.0,OC,SA
French Polynesia,Colombia,4.0,OC,SA
Vanuatu,Colombia,60.0,OC,SA
New Zealand,Comoros,28.0,OC,AF
New Zealand,Congo,843.0,OC,AF
Australia,Costa Rica,754.0,OC,
Australia,Costa Rica,283.0,OC,
New Zealand,Costa Rica,6005.0,OC,
New Zealand,Costa Rica,6605.0,OC,
Fiji,Costa Rica,86.0,OC,
French Polynesia,Costa Rica,1.0,OC,
Vanuatu,Costa Rica,2.0,OC,
Nauru,Costa Rica,2.0,OC,
Australia,Croatia,31.0,OC,EU
Australia,Croatia,859.0,OC,EU
New Zealand,Croatia,295.0,OC,EU
New Zealand,Croatia,271.0,OC,EU
Papua New Guinea,Croatia,127.0,OC,EU
Australia,Cyprus,976.0,OC,AS
Australia,Cyprus,1792.0,OC,AS
New Zealand,Cyprus,7793.0,OC,AS
New Zealand,Cyprus,8601.0,OC,AS
Australia,Denmark,28107.0,OC,EU
Australia,Denmark,37379.0,OC,EU
New Zealand,Denmark,38863.0,OC,EU
New Zealand,Denmark,61242.0,OC,EU
Fiji,Denmark,2.0,OC,EU
Fiji,Denmark,8.0,OC,EU
Papua New Guinea,Denmark,85.0,OC,EU
French Polynesia,Denmark,203.0,OC,EU
New Caledonia,Denmark,60.0,OC,EU
New Zealand,Djibouti,2329.0,OC,AF
Australia,Ecuador,104.0,OC,SA
Australia,Ecuador,1876.0,OC,SA
New Zealand,Ecuador,166.0,OC,SA
New Zealand,Ecuador,125.0,OC,SA
American Samoa,Ecuador,32.0,OC,SA
Kiribati,Ecuador,115.0,OC,SA
Australia,Egypt,130722.0,OC,AF
