source,target,value
Zimbabwe,South Africa,901404.0
Zambia,Zimbabwe,130423.0
Yemen,Oman,9119.0
Western Sahara,Pakistan,7544.0
Viet Nam,"China, mainland",2739226.0
Venezuela (Bolivarian Republic of),Japan,21358.0
Vanuatu,Philippines,13524.0
Uzbekistan,Kazakhstan,316872.0
Uruguay,"China, mainland",1377327.0
Unspecified Area,United Arab Emirates,665412.0
United States of America,Canada,23052605.0
United Republic of Tanzania,India,375424.0
United Kingdom,Ireland,4449700.0
United Arab Emirates,Oman,1724293.0
Ukraine,India,1640083.0
Uganda,Germany,93204.0
Turks and Caicos Islands,Zimbabwe,8638.0
Turkmenistan,Turkey,182046.0
Turkey,Iraq,2896840.0
Tunisia,Italy,231433.0
Trinidad and Tobago,Jamaica,65887.0
Tonga,Japan,1751.0
Tokelau,Bahrain,103.0
Togo,"China, mainland",102710.0
Timor-Leste,United States of America,5211.0
Thailand,"China, mainland",5843891.0
Tajikistan,Turkey,24433.0
Syrian Arab Republic,Jordan,64607.0
Switzerland,France,1556018.0
Sweden,Norway,988564.0
Suriname,Belgium,46366.0
Sudan,"China, mainland",159842.0
Sri Lanka,United States of America,170515.0
Spain,France,7491580.0
South Sudan,Pakistan,4656.0
South Africa,Netherlands,1061678.0
Somalia,Oman,146004.0
Solomon Islands,Malaysia,15004.0
Slovenia,Italy,437768.0
Slovakia,Czechia,693076.0
Singapore,Viet Nam,1326450.0
Sierra Leone,Netherlands,28927.0
Seychelles,Philippines,9094.0
Serbia,Bosnia and Herzegovina,460756.0
Senegal,"China, mainland",129401.0
Saudi Arabia,United Arab Emirates,747800.0
Sao Tome and Principe,Unspecified Area,8467.0
San Marino,Belarus,4919.0
Samoa,United States of America,2835.0
Saint Vincent and the Grenadines,Saint Lucia,7139.0
Saint Pierre and Miquelon,Senegal,9.0
Saint Lucia,Unspecified Area,11162.0
Saint Kitts and Nevis,United States of America,911.0
"Saint Helena, Ascension and Tristan da Cunha",Australia,94.0
Rwanda,Pakistan,32194.0
Russian Federation,Turkey,1783480.0
Romania,Italy,856432.0
Republic of Moldova,Romania,167346.0
Republic of Korea,Japan,1448525.0
Qatar,Saudi Arabia,23096.0
Portugal,Spain,1986959.0
Poland,Germany,4671760.0
Pitcairn Islands,Sri Lanka,38.0
Philippines,United States of America,1176837.0
Peru,United States of America,1951261.0
Paraguay,Brazil,898764.0
Papua New Guinea,Netherlands,184733.0
Panama,Netherlands,114987.0
Palestine,Jordan,18848.0
Palau,United States of America,61.0
Pakistan,Afghanistan,737203.0
Oman,United Arab Emirates,494258.0
Norway,Sweden,215037.0
Northern Mariana Islands,Turkey,17.0
North Macedonia,Serbia,127831.0
Norfolk Island,Indonesia,164.0
Niue,Republic of Korea,160.0
Nigeria,Netherlands,412028.0
Niger,"China, mainland",123438.0
Nicaragua,United States of America,761779.0
New Zealand,"China, mainland",3751641.0
New Caledonia,France,4411.0
Netherlands,Germany,20568423.0
Nepal,India,173188.0
Nauru,United States of America,27.0
Namibia,South Africa,176328.0
Myanmar,India,601126.0
Mozambique,South Africa,75842.0
Morocco,France,952079.0
Montserrat,United States of America,7.0
Montenegro,Serbia,18040.0
Mongolia,"China, mainland",303642.0
Micronesia (Federated States of),United States of America,242.0
Mexico,United States of America,24027742.0
Mauritius,Italy,79493.0
Mauritania,Mali,3439.0
Marshall Islands,Malaysia,1208.0
Malta,Spain,19373.0
Mali,Côte d'Ivoire,114725.0
Maldives,Turkey,501.0
Malaysia,"China, mainland",2563187.0
Malawi,Belgium,124569.0
Madagascar,United States of America,242277.0
Luxembourg,Germany,511304.0
Lithuania,Latvia,530771.0
Libya,Tunisia,4992.0
Liberia,Netherlands,95348.0
Lesotho,South Africa,38219.0
Lebanon,Syrian Arab Republic,97692.0
Latvia,Russian Federation,431123.0
Lao People's Democratic Republic,"China, mainland",204503.0
Kyrgyzstan,Turkey,42586.0
Kuwait,Saudi Arabia,199918.0
Kiribati,Malaysia,3488.0
Kenya,Netherlands,500156.0
Kazakhstan,Uzbekistan,426234.0
Jordan,Saudi Arabia,322268.0
Japan,"China, Hong Kong SAR",934706.0
Jamaica,United States of America,104540.0
Italy,Germany,7145899.0
Israel,United States of America,339101.0
Ireland,United Kingdom,5372294.0
Iraq,India,58622.0
Iran (Islamic Republic of),"China, Hong Kong SAR",252750.0
Indonesia,India,4501018.0
India,United States of America,2127101.0
Iceland,United States of America,36198.0
Hungary,Germany,1149807.0
Honduras,United States of America,952823.0
Holy See,"China, Hong Kong SAR",195.0
Haiti,United States of America,24785.0
Guyana,United Kingdom,52766.0
Guinea-Bissau,India,209390.0
Guinea,Belarus,40666.0
Guatemala,United States of America,2187869.0
Guam,Philippines,1488.0
Grenada,United States of America,3576.0
Greenland,Denmark,2847.0
Greece,Italy,871003.0
Gibraltar,Senegal,23.0
Ghana,Netherlands,788737.0
Germany,Netherlands,10209392.0
Georgia,Russian Federation,197435.0
Gambia,India,39436.0
Gabon,United States of America,3933.0
French Southern and Antarctic Territories,Chile,135.0
French Polynesia,France,10898.0
France,Belgium,7824516.0
Finland,Sweden,347896.0
Fiji,United States of America,139210.0
Faroe Islands,Denmark,21104.0
Falkland Islands (Malvinas),United Kingdom,1575.0
Ethiopia,"China, mainland",337537.0
Eswatini,South Africa,275764.0
Estonia,Finland,196462.0
Eritrea,Italy,35.0
Equatorial Guinea,Belarus,2080.0
El Salvador,United States of America,251113.0
Egypt,United Arab Emirates,298341.0
Ecuador,United States of America,1367345.0
Dominican Republic,United States of America,1107696.0
Dominica,Netherlands,2827.0
Djibouti,Spain,6255.0
Denmark,Germany,2958660.0
Democratic Republic of the Congo,Germany,17753.0
Democratic People's Republic of Korea,"China, mainland",73376.0
Côte d'Ivoire,Netherlands,1318319.0
Czechia,Slovakia,1787756.0
Cyprus,United Kingdom,90205.0
Cuba,"China, mainland",180079.0
Croatia,Bosnia and Herzegovina,294894.0
Costa Rica,United States of America,1788421.0
Cook Islands,Japan,258.0
Congo,Germany,7920.0
Comoros,India,22957.0
Colombia,United States of America,2582247.0
Cocos (Keeling) Islands,Zimbabwe,512.0
Christmas Island,Pakistan,57.0
"China, mainland","China, Hong Kong SAR",7245673.0
"China, Taiwan Province of","China, mainland",626529.0
"China, Macao SAR","China, Hong Kong SAR",40233.0
"China, Hong Kong SAR","China, mainland",4812623.0
Chile,United States of America,3401156.0
Chad,Turkey,23500.0
Central African Republic,Belarus,34727.0
Cayman Islands,United States of America,747.0
Canada,United States of America,22619384.0
Cameroon,Netherlands,349116.0
Cambodia,Thailand,290958.0
Cabo Verde,United States of America,517.0
Burundi,Germany,13019.0
Burkina Faso,Singapore,226316.0
Bulgaria,Greece,575603.0
Brunei Darussalam,Canada,483.0
British Virgin Islands,Netherlands,2356.0
British Indian Ocean Territory,Ghana,21.0
Brazil,"China, mainland",19002837.0
Botswana,South Africa,60855.0
Bosnia and Herzegovina,Turkey,203774.0
Bolivia (Plurinational State of),Colombia,507587.0
Bhutan,India,4129.0
Bermuda,United States of America,5143.0
Benin,India,161626.0
Belize,United Kingdom,69045.0
Belgium,France,8639168.0
Belarus,Russian Federation,3420963.0
Barbados,United States of America,25382.0
Bangladesh,India,139768.0
Bahrain,Saudi Arabia,126837.0
Bahamas,United States of America,2153.0
Azerbaijan,Russian Federation,323663.0
Austria,Germany,3968944.0
Australia,"China, mainland",4962432.0
Aruba,Colombia,22574.0
Armenia,Russian Federation,219886.0
Argentina,"China, mainland",3915707.0
Antigua and Barbuda,Senegal,7512.0
Anguilla,United States of America,2313.0
Angola,Portugal,605.0
Andorra,United States of America,3910.0
American Samoa,Indonesia,558.0
Algeria,Mauritania,37911.0
Albania,Serbia,31409.0
Afghanistan,Pakistan,230311.0
