,Reporter Countries,Partner Countries,Element,Year Code,Value
197,Afghanistan,India,Import Quantity,2016,579.0
280,Afghanistan,Kazakhstan,Import Quantity,2016,399.0
298,Afghanistan,Kyrgyzstan,Import Quantity,2016,2.0
333,Afghanistan,Netherlands,Import Quantity,2016,12.0
361,Afghanistan,Pakistan,Import Quantity,2016,326690.0
493,Afghanistan,Turkey,Import Quantity,2016,39.0
539,Afghanistan,United Arab Emirates,Import Quantity,2016,32.0
617,Albania,Algeria,Import Quantity,2016,13175.0
663,Albania,Argentina,Import Quantity,2016,13577.0
788,Albania,Austria,Import Quantity,2016,12246.0
896,Albania,Belgium,Import Quantity,2016,1289.0
982,Albania,Bosnia and Herzegovina,Import Quantity,2016,1436.0
1023,Albania,Brazil,Import Quantity,2016,44640.0
1103,Albania,Bulgaria,Import Quantity,2016,13883.0
1147,Albania,Cameroon,Import Quantity,2016,81.0
1201,Albania,Canada,Import Quantity,2016,735.0
1237,Albania,Chile,Import Quantity,2016,5.0
1323,Albania,"China, mainland",Import Quantity,2016,1191.0
1359,Albania,Colombia,Import Quantity,2016,2904.0
1418,Albania,Costa Rica,Import Quantity,2016,59.0
1495,Albania,Croatia,Import Quantity,2016,5457.0
1527,Albania,Cuba,Import Quantity,2016,3.0
1568,Albania,Cyprus,Import Quantity,2016,42.0
1633,Albania,Czechia,Import Quantity,2016,104.0
1663,Albania,Côte d'Ivoire,Import Quantity,2016,82.0
1726,Albania,Denmark,Import Quantity,2016,227.0
1793,Albania,Ecuador,Import Quantity,2016,17604.0
1842,Albania,Egypt,Import Quantity,2016,439.0
1872,Albania,Estonia,Import Quantity,2016,6.0
1914,Albania,Ethiopia,Import Quantity,2016,28.0
2001,Albania,France,Import Quantity,2016,876.0
2087,Albania,Germany,Import Quantity,2016,13857.0
2177,Albania,Greece,Import Quantity,2016,171630.0
2213,Albania,Guatemala,Import Quantity,2016,11.0
2250,Albania,Honduras,Import Quantity,2016,26.0
2320,Albania,Hungary,Import Quantity,2016,23555.0
2390,Albania,India,Import Quantity,2016,3684.0
2426,Albania,Indonesia,Import Quantity,2016,1040.0
2464,Albania,Iran (Islamic Republic of),Import Quantity,2016,100.0
2524,Albania,Ireland,Import Quantity,2016,14.0
2642,Albania,Italy,Import Quantity,2016,102288.0
2750,Albania,Kazakhstan,Import Quantity,2016,8.0
2912,Albania,Lithuania,Import Quantity,2016,589.0
2997,Albania,Malaysia,Import Quantity,2016,1037.0
3079,Albania,Mexico,Import Quantity,2016,2992.0
3122,Albania,Montenegro,Import Quantity,2016,298.0
3147,Albania,Morocco,Import Quantity,2016,3.0
3226,Albania,Netherlands,Import Quantity,2016,8834.0
3372,Albania,North Macedonia,Import Quantity,2016,28493.0
3445,Albania,Pakistan,Import Quantity,2016,3237.0
3500,Albania,Paraguay,Import Quantity,2016,152.0
3600,Albania,Poland,Import Quantity,2016,4593.0
3764,Albania,Romania,Import Quantity,2016,19477.0
3825,Albania,Russian Federation,Import Quantity,2016,134399.0
3929,Albania,Serbia,Import Quantity,2016,270136.0
4133,Albania,Slovenia,Import Quantity,2016,11.0
4175,Albania,South Africa,Import Quantity,2016,201.0
4248,Albania,Spain,Import Quantity,2016,4095.0
4283,Albania,Sri Lanka,Import Quantity,2016,8.0
4416,Albania,Switzerland,Import Quantity,2016,18.0
4482,Albania,Thailand,Import Quantity,2016,343.0
4515,Albania,Tunisia,Import Quantity,2016,20.0
4583,Albania,Turkey,Import Quantity,2016,15945.0
4622,Albania,Uganda,Import Quantity,2016,96.0
4666,Albania,Ukraine,Import Quantity,2016,8414.0
4761,Albania,United Kingdom,Import Quantity,2016,735.0
4844,Albania,United States of America,Import Quantity,2016,3699.0
4977,Albania,Viet Nam,Import Quantity,2016,1121.0
5021,Algeria,Afghanistan,Import Quantity,2016,3.0
5065,Algeria,Albania,Import Quantity,2016,154.0
5113,Algeria,Antigua and Barbuda,Import Quantity,2016,24.0
