source,target,value,sourcecont,targetcont
Morocco,Afghanistan,1503.0,AF,AS
South Africa,Afghanistan,1.0,AF,AS
Tunisia,Afghanistan,43.0,AF,AS
Algeria,Albania,6912.0,AF,EU
Algeria,Albania,8052.0,AF,EU
Cameroon,Albania,164.0,AF,EU
Egypt,Albania,234.0,AF,EU
Ethiopia,Albania,91.0,AF,EU
Ethiopia,Albania,57.0,AF,EU
Kenya,Albania,144.0,AF,EU
Morocco,Albania,2.0,AF,EU
Morocco,Albania,2915.0,AF,EU
South Africa,Albania,164.0,AF,EU
South Africa,Albania,258.0,AF,EU
Tunisia,Albania,44.0,AF,EU
Tunisia,Albania,92.0,AF,EU
Uganda,Albania,240.0,AF,EU
Mauritius,Albania,33.0,AF,EU
Cameroon,Algeria,8483.0,AF,AF
Egypt,Algeria,111609.0,AF,AF
Egypt,Algeria,157.0,AF,AF
Ethiopia,Algeria,1068.0,AF,AF
Kenya,Algeria,132.0,AF,AF
Morocco,Algeria,89330.0,AF,AF
Morocco,Algeria,59501.0,AF,AF
South Africa,Algeria,26605.0,AF,AF
South Africa,Algeria,23418.0,AF,AF
Tunisia,Algeria,20394.0,AF,AF
Tunisia,Algeria,22620.0,AF,AF
Uganda,Algeria,3865.0,AF,AF
Benin,Algeria,4.0,AF,AF
Burkina Faso,Algeria,155.0,AF,AF
Burkina Faso,Algeria,16.0,AF,AF
Burundi,Algeria,79.0,AF,AF
Comoros,Algeria,199.0,AF,AF
Ghana,Algeria,844.0,AF,AF
Guinea,Algeria,352.0,AF,AF
Madagascar,Algeria,194.0,AF,AF
Madagascar,Algeria,111.0,AF,AF
Malawi,Algeria,1306.0,AF,AF
Niger,Algeria,5.0,AF,AF
Niger,Algeria,2030.0,AF,AF
Nigeria,Algeria,564.0,AF,AF
Togo,Algeria,125.0,AF,AF
Zimbabwe,Algeria,3921.0,AF,AF
Mali,Algeria,30.0,AF,AF
Senegal,Algeria,4.0,AF,AF
Algeria,Antigua and Barbuda,1.0,AF,
South Africa,Antigua and Barbuda,96.0,AF,
South Africa,Antigua and Barbuda,140.0,AF,
Niger,Antigua and Barbuda,55.0,AF,
Nigeria,Antigua and Barbuda,3.0,AF,
Namibia,Antigua and Barbuda,10.0,AF,
Cameroon,Argentina,2.0,AF,SA
Egypt,Argentina,1771.0,AF,SA
Ethiopia,Argentina,34.0,AF,SA
Ethiopia,Argentina,14.0,AF,SA
Kenya,Argentina,1.0,AF,SA
Morocco,Argentina,609.0,AF,SA
Morocco,Argentina,351.0,AF,SA
South Africa,Argentina,4585.0,AF,SA
South Africa,Argentina,2852.0,AF,SA
Tunisia,Argentina,210.0,AF,SA
Tunisia,Argentina,113.0,AF,SA
Uganda,Argentina,7.0,AF,SA
Burundi,Argentina,5.0,AF,SA
Comoros,Argentina,23.0,AF,SA
Guinea,Argentina,1.0,AF,SA
Madagascar,Argentina,455.0,AF,SA
Madagascar,Argentina,58.0,AF,SA
Malawi,Argentina,679.0,AF,SA
Nigeria,Argentina,6.0,AF,SA
Namibia,Argentina,5.0,AF,SA
Namibia,Argentina,8.0,AF,SA
Congo,Argentina,2.0,AF,SA
Djibouti,Argentina,119.0,AF,SA
Gabon,Argentina,3.0,AF,SA
Mozambique,Argentina,11058.0,AF,SA
Rwanda,Argentina,3.0,AF,SA
Sierra Leone,Argentina,1.0,AF,SA
Mauritius,Argentina,1.0,AF,SA
Senegal,Argentina,26.0,AF,SA
Egypt,Armenia,274.0,AF,AS
South Africa,Armenia,6337.0,AF,AS
South Africa,Armenia,32.0,AF,AS
Ghana,Armenia,1008.0,AF,AS
Malawi,Armenia,4201.0,AF,AS
Nigeria,Armenia,635.0,AF,AS
Togo,Armenia,934.0,AF,AS
Zimbabwe,Armenia,6813.0,AF,AS
Sierra Leone,Armenia,668.0,AF,AS
Mali,Armenia,5.0,AF,AS
Mauritius,Armenia,40.0,AF,AS
Algeria,Australia,47.0,AF,OC
Algeria,Australia,9.0,AF,OC
Egypt,Australia,8442.0,AF,OC
Ethiopia,Australia,17701.0,AF,OC
Ethiopia,Australia,20342.0,AF,OC
Kenya,Australia,20455.0,AF,OC
Morocco,Australia,4761.0,AF,OC
Morocco,Australia,4361.0,AF,OC
South Africa,Australia,44654.0,AF,OC
South Africa,Australia,51337.0,AF,OC
Tunisia,Australia,2854.0,AF,OC
Tunisia,Australia,2405.0,AF,OC
Uganda,Australia,1054.0,AF,OC
Burkina Faso,Australia,15.0,AF,OC
Burundi,Australia,372.0,AF,OC
Comoros,Australia,9.0,AF,OC
Ghana,Australia,5219.0,AF,OC
Ghana,Australia,618.0,AF,OC
Guinea,Australia,34.0,AF,OC
Madagascar,Australia,1741.0,AF,OC
Madagascar,Australia,1490.0,AF,OC
Malawi,Australia,26.0,AF,OC
Niger,Australia,134.0,AF,OC
Niger,Australia,29.0,AF,OC
Nigeria,Australia,211.0,AF,OC
Zimbabwe,Australia,134.0,AF,OC
Zimbabwe,Australia,3.0,AF,OC
Namibia,Australia,82.0,AF,OC
Namibia,Australia,54.0,AF,OC
Djibouti,Australia,857.0,AF,OC
Rwanda,Australia,1126.0,AF,OC
Sierra Leone,Australia,40.0,AF,OC
Sierra Leone,Australia,2.0,AF,OC
Mali,Australia,97.0,AF,OC
Mali,Australia,11.0,AF,OC
Mauritius,Australia,696.0,AF,OC
Mauritius,Australia,1856.0,AF,OC
Equatorial Guinea,Australia,9.0,AF,OC
Lesotho,Australia,72.0,AF,OC
Liberia,Australia,14.0,AF,OC
Mauritania,Australia,15.0,AF,OC
Sao Tome and Principe,Australia,10.0,AF,OC
Seychelles,Australia,764.0,AF,OC
Seychelles,Australia,3.0,AF,OC
Somalia,Australia,137.0,AF,OC
Zambia,Australia,59.0,AF,OC
Algeria,Austria,1.0,AF,EU
Cameroon,Austria,24.0,AF,EU
Egypt,Austria,4021.0,AF,EU
Egypt,Austria,18.0,AF,EU
Ethiopia,Austria,416.0,AF,EU
Ethiopia,Austria,84.0,AF,EU
Kenya,Austria,687.0,AF,EU
Morocco,Austria,846.0,AF,EU
Morocco,Austria,251.0,AF,EU
South Africa,Austria,6915.0,AF,EU
South Africa,Austria,4419.0,AF,EU
Tunisia,Austria,4337.0,AF,EU
Tunisia,Austria,493.0,AF,EU
Uganda,Austria,41.0,AF,EU
Burkina Faso,Austria,17.0,AF,EU
Burkina Faso,Austria,42.0,AF,EU
Ghana,Austria,6.0,AF,EU
Madagascar,Austria,149.0,AF,EU
Madagascar,Austria,7.0,AF,EU
Nigeria,Austria,151.0,AF,EU
Namibia,Austria,3.0,AF,EU
Namibia,Austria,34.0,AF,EU
Mozambique,Austria,262.0,AF,EU
Mauritius,Austria,1435.0,AF,EU
Mauritius,Austria,852.0,AF,EU
Seychelles,Austria,1.0,AF,EU
Somalia,Austria,14.0,AF,EU
Angola,Austria,1.0,AF,EU
Senegal,Austria,32.0,AF,EU
Senegal,Austria,303.0,AF,EU
Algeria,Azerbaijan,147.0,AF,AS
Ethiopia,Azerbaijan,1.0,AF,AS
South Africa,Azerbaijan,260.0,AF,AS
Tunisia,Azerbaijan,702.0,AF,AS
Algeria,Bahrain,54.0,AF,AS
Algeria,Bahrain,34.0,AF,AS
Cameroon,Bahrain,4.0,AF,AS
Egypt,Bahrain,39376.0,AF,AS
Egypt,Bahrain,66.0,AF,AS
Ethiopia,Bahrain,3405.0,AF,AS
Ethiopia,Bahrain,2496.0,AF,AS
Kenya,Bahrain,3365.0,AF,AS
Morocco,Bahrain,3190.0,AF,AS
Morocco,Bahrain,3441.0,AF,AS
South Africa,Bahrain,20497.0,AF,AS
South Africa,Bahrain,13214.0,AF,AS
Tunisia,Bahrain,1340.0,AF,AS
Tunisia,Bahrain,796.0,AF,AS
Uganda,Bahrain,517.0,AF,AS
Burkina Faso,Bahrain,6366.0,AF,AS
Burundi,Bahrain,1.0,AF,AS
Comoros,Bahrain,45.0,AF,AS
Ghana,Bahrain,39.0,AF,AS
Madagascar,Bahrain,78.0,AF,AS
Malawi,Bahrain,23.0,AF,AS
Niger,Bahrain,1.0,AF,AS
Nigeria,Bahrain,6748.0,AF,AS
Togo,Bahrain,3.0,AF,AS
Zimbabwe,Bahrain,15.0,AF,AS
Namibia,Bahrain,156.0,AF,AS
Djibouti,Bahrain,1.0,AF,AS
Gabon,Bahrain,36.0,AF,AS
Mozambique,Bahrain,226.0,AF,AS
Sierra Leone,Bahrain,36.0,AF,AS
Mali,Bahrain,746.0,AF,AS
Mali,Bahrain,335.0,AF,AS
Mauritius,Bahrain,301.0,AF,AS
Lesotho,Bahrain,2.0,AF,AS
Mauritania,Bahrain,4.0,AF,AS
Somalia,Bahrain,8032.0,AF,AS
Zambia,Bahrain,1.0,AF,AS
Senegal,Bahrain,8.0,AF,AS
Chad,Bahrain,2906.0,AF,AS
