source,target,value,sourcecont,targetcont
Netherlands,Afghanistan,42.0,EU,AS
Netherlands,Afghanistan,12578.0,EU,AS
Austria,Afghanistan,5860.0,EU,AS
Belgium,Afghanistan,1122.0,EU,AS
Bulgaria,Afghanistan,125.0,EU,AS
Denmark,Afghanistan,1195.0,EU,AS
Estonia,Afghanistan,2.0,EU,AS
France,Afghanistan,6194.0,EU,AS
Germany,Afghanistan,6320.0,EU,AS
Greece,Afghanistan,42.0,EU,AS
Hungary,Afghanistan,678.0,EU,AS
Ireland,Afghanistan,5328.0,EU,AS
Italy,Afghanistan,927.0,EU,AS
Lithuania,Afghanistan,1639.0,EU,AS
Poland,Afghanistan,2903.0,EU,AS
Russian Federation,Afghanistan,40183.0,EU,AS
Spain,Afghanistan,661.0,EU,AS
Switzerland,Afghanistan,212.0,EU,AS
United Kingdom,Afghanistan,292.0,EU,AS
Finland,Afghanistan,4.0,EU,AS
Latvia,Afghanistan,1824.0,EU,AS
Sweden,Afghanistan,21.0,EU,AS
Slovakia,Afghanistan,1.0,EU,AS
Netherlands,Albania,10090.0,EU,EU
Netherlands,Albania,13083.0,EU,EU
Austria,Albania,17409.0,EU,EU
Austria,Albania,19225.0,EU,EU
Belgium,Albania,2682.0,EU,EU
Belgium,Albania,2709.0,EU,EU
Bosnia and Herzegovina,Albania,2596.0,EU,EU
Bosnia and Herzegovina,Albania,3032.0,EU,EU
Bulgaria,Albania,14127.0,EU,EU
Bulgaria,Albania,7110.0,EU,EU
Croatia,Albania,3474.0,EU,EU
Croatia,Albania,8545.0,EU,EU
Denmark,Albania,354.0,EU,EU
Denmark,Albania,503.0,EU,EU
Estonia,Albania,33.0,EU,EU
Estonia,Albania,38.0,EU,EU
France,Albania,5063.0,EU,EU
France,Albania,3450.0,EU,EU
Germany,Albania,32243.0,EU,EU
Germany,Albania,29808.0,EU,EU
Greece,Albania,103002.0,EU,EU
Greece,Albania,99152.0,EU,EU
Hungary,Albania,10522.0,EU,EU
Hungary,Albania,10827.0,EU,EU
Ireland,Albania,140.0,EU,EU
Ireland,Albania,91.0,EU,EU
Italy,Albania,122503.0,EU,EU
Italy,Albania,119288.0,EU,EU
Lithuania,Albania,1499.0,EU,EU
Lithuania,Albania,1519.0,EU,EU
Montenegro,Albania,402.0,EU,EU
Montenegro,Albania,3662.0,EU,EU
Poland,Albania,32264.0,EU,EU
Poland,Albania,23611.0,EU,EU
Romania,Albania,5898.0,EU,EU
Romania,Albania,9085.0,EU,EU
Russian Federation,Albania,26991.0,EU,EU
Russian Federation,Albania,29817.0,EU,EU
Serbia,Albania,68276.0,EU,EU
Serbia,Albania,40783.0,EU,EU
Slovenia,Albania,260.0,EU,EU
Slovenia,Albania,7591.0,EU,EU
Spain,Albania,4807.0,EU,EU
Spain,Albania,6922.0,EU,EU
Switzerland,Albania,210.0,EU,EU
Switzerland,Albania,1867.0,EU,EU
Ukraine,Albania,5432.0,EU,EU
United Kingdom,Albania,3975.0,EU,EU
United Kingdom,Albania,2307.0,EU,EU
Finland,Albania,37.0,EU,EU
Latvia,Albania,17.0,EU,EU
Norway,Albania,344.0,EU,EU
Portugal,Albania,1490.0,EU,EU
Sweden,Albania,108.0,EU,EU
Slovakia,Albania,396.0,EU,EU
Netherlands,Algeria,175781.0,EU,AF
Netherlands,Algeria,181007.0,EU,AF
Austria,Algeria,14020.0,EU,AF
Austria,Algeria,11130.0,EU,AF
Belgium,Algeria,74220.0,EU,AF
Belgium,Algeria,111557.0,EU,AF
Bulgaria,Algeria,10799.0,EU,AF
Bulgaria,Algeria,2768.0,EU,AF
Croatia,Algeria,5864.0,EU,AF
Denmark,Algeria,17743.0,EU,AF
Denmark,Algeria,13165.0,EU,AF
Estonia,Algeria,5102.0,EU,AF
Estonia,Algeria,4812.0,EU,AF
France,Algeria,1352745.0,EU,AF
France,Algeria,1240006.0,EU,AF
Germany,Algeria,253923.0,EU,AF
Germany,Algeria,231764.0,EU,AF
Greece,Algeria,14937.0,EU,AF
Greece,Algeria,13395.0,EU,AF
Hungary,Algeria,5210.0,EU,AF
Hungary,Algeria,4422.0,EU,AF
Ireland,Algeria,62702.0,EU,AF
Ireland,Algeria,41919.0,EU,AF
Italy,Algeria,85249.0,EU,AF
Italy,Algeria,108776.0,EU,AF
Lithuania,Algeria,36032.0,EU,AF
Lithuania,Algeria,12210.0,EU,AF
Poland,Algeria,233301.0,EU,AF
Poland,Algeria,160149.0,EU,AF
Romania,Algeria,16435.0,EU,AF
Romania,Algeria,15807.0,EU,AF
Russian Federation,Algeria,184164.0,EU,AF
Russian Federation,Algeria,180577.0,EU,AF
Serbia,Algeria,58821.0,EU,AF
Serbia,Algeria,26706.0,EU,AF
Slovenia,Algeria,413.0,EU,AF
Spain,Algeria,303516.0,EU,AF
Spain,Algeria,309666.0,EU,AF
Switzerland,Algeria,25942.0,EU,AF
Switzerland,Algeria,17201.0,EU,AF
Ukraine,Algeria,152956.0,EU,AF
United Kingdom,Algeria,169181.0,EU,AF
United Kingdom,Algeria,113620.0,EU,AF
Albania,Algeria,307.0,EU,AF
Finland,Algeria,10753.0,EU,AF
Finland,Algeria,9539.0,EU,AF
Latvia,Algeria,51282.0,EU,AF
Latvia,Algeria,59531.0,EU,AF
Malta,Algeria,269.0,EU,AF
Malta,Algeria,40.0,EU,AF
Norway,Algeria,14.0,EU,AF
Portugal,Algeria,47787.0,EU,AF
Portugal,Algeria,24761.0,EU,AF
Sweden,Algeria,73917.0,EU,AF
Sweden,Algeria,60816.0,EU,AF
Netherlands,Antigua and Barbuda,2509.0,EU,
Netherlands,Antigua and Barbuda,2247.0,EU,
Austria,Antigua and Barbuda,188.0,EU,
Austria,Antigua and Barbuda,73.0,EU,
Belgium,Antigua and Barbuda,667.0,EU,
Belgium,Antigua and Barbuda,473.0,EU,
Bulgaria,Antigua and Barbuda,13.0,EU,
Denmark,Antigua and Barbuda,581.0,EU,
Denmark,Antigua and Barbuda,411.0,EU,
Estonia,Antigua and Barbuda,2.0,EU,
France,Antigua and Barbuda,2096.0,EU,
France,Antigua and Barbuda,2324.0,EU,
Germany,Antigua and Barbuda,261.0,EU,
