source,target,value
"China, mainland",Albania,1346.0
"China, mainland",Algeria,129269.0
"China, mainland",Antigua and Barbuda,251.0
"China, mainland",Argentina,48404.0
"China, mainland",Armenia,3597.0
"China, mainland",Aruba,409.0
"China, mainland",Australia,666209.0
"China, mainland",Austria,52588.0
"China, mainland",Bahrain,29381.0
"China, mainland",Bangladesh,1597.0
"China, mainland",Barbados,1235.0
"China, mainland",Belarus,82047.0
"China, mainland",Belgium,246325.0
"China, mainland",Benin,16128.0
"China, mainland",Bermuda,93.0
"China, mainland",Bosnia and Herzegovina,5050.0
"China, mainland",Botswana,53.0
"China, mainland",Brazil,491341.0
"China, mainland",Bulgaria,34036.0
"China, mainland",Burkina Faso,7377.0
"China, mainland",Burundi,407.0
"China, mainland",Cabo Verde,1042.0
"China, mainland",Cambodia,24435.0
"China, mainland",Cameroon,5.0
"China, mainland",Canada,677180.0
"China, mainland",Chile,97960.0
"China, mainland","China, Hong Kong SAR",4709001.0
"China, mainland","China, Macao SAR",396967.0
"China, mainland","China, Taiwan Province of",528860.0
Afghanistan,"China, mainland",549.0
Albania,"China, mainland",371.0
Algeria,"China, mainland",567.0
Angola,"China, mainland",286.0
Argentina,"China, mainland",3915707.0
Armenia,"China, mainland",580.0
Australia,"China, mainland",4962432.0
Austria,"China, mainland",71918.0
Azerbaijan,"China, mainland",702.0
Bahamas,"China, mainland",49.0
Bahrain,"China, mainland",220.0
Bangladesh,"China, mainland",27819.0
Barbados,"China, mainland",32.0
Belarus,"China, mainland",24045.0
Belgium,"China, mainland",336410.0
Benin,"China, mainland",15757.0
Bermuda,"China, mainland",63.0
Bhutan,"China, mainland",1.0
Bolivia (Plurinational State of),"China, mainland",3055.0
Bosnia and Herzegovina,"China, mainland",240.0
Brazil,"China, mainland",19002837.0
Bulgaria,"China, mainland",10764.0
Burkina Faso,"China, mainland",5125.0
Burundi,"China, mainland",1273.0
Cambodia,"China, mainland",117162.0
Cameroon,"China, mainland",62336.0
Canada,"China, mainland",4578466.0
Central African Republic,"China, mainland",776.0
Chad,"China, mainland",770.0
Chile,"China, mainland",1766355.0
"China, Hong Kong SAR","China, mainland",285330.0
"China, Macao SAR","China, mainland",14028.0
"China, Taiwan Province of","China, mainland",610503.0
Colombia,"China, mainland",14940.0
Comoros,"China, mainland",13.0
Congo,"China, mainland",10.0
Cook Islands,"China, mainland",79.0
Costa Rica,"China, mainland",47431.0
Croatia,"China, mainland",6763.0
Cuba,"China, mainland",180079.0
Cyprus,"China, mainland",9086.0
Czechia,"China, mainland",32837.0
Côte d'Ivoire,"China, mainland",84082.0
Democratic People's Republic of Korea,"China, mainland",73376.0
Democratic Republic of the Congo,"China, mainland",295.0
Denmark,"China, mainland",1061968.0
Djibouti,"China, mainland",18.0
Dominica,"China, mainland",66.0
Dominican Republic,"China, mainland",4337.0
Ecuador,"China, mainland",157077.0
Egypt,"China, mainland",40678.0
El Salvador,"China, mainland",206.0
Estonia,"China, mainland",782.0
Ethiopia,"China, mainland",337537.0
Fiji,"China, mainland",4558.0
Finland,"China, mainland",51471.0
France,"China, mainland",3175445.0
French Polynesia,"China, mainland",3112.0
Gabon,"China, mainland",69.0
Georgia,"China, mainland",12574.0
Germany,"China, mainland",2225541.0
Ghana,"China, mainland",39682.0
Greece,"China, mainland",34974.0
Greenland,"China, mainland",268.0
Guatemala,"China, mainland",15173.0
Guinea,"China, mainland",8.0
Guyana,"China, mainland",581.0
Haiti,"China, mainland",127.0
Honduras,"China, mainland",1425.0
Hungary,"China, mainland",83769.0
Iceland,"China, mainland",1002.0
India,"China, mainland",698701.0
Indonesia,"China, mainland",4082994.0
Iran (Islamic Republic of),"China, mainland",27811.0
Iraq,"China, mainland",2104.0
Ireland,"China, mainland",816298.0
Israel,"China, mainland",63931.0
Italy,"China, mainland",531983.0
Jamaica,"China, mainland",844.0
Japan,"China, mainland",366835.0
Jordan,"China, mainland",1486.0
Kazakhstan,"China, mainland",140612.0
Kenya,"China, mainland",5920.0
Kuwait,"China, mainland",44.0
Kyrgyzstan,"China, mainland",13685.0
Lao People's Democratic Republic,"China, mainland",204503.0
Latvia,"China, mainland",10675.0
Lebanon,"China, mainland",213.0
Lesotho,"China, mainland",99.0
Liberia,"China, mainland",1096.0
Lithuania,"China, mainland",4425.0
Luxembourg,"China, mainland",1183.0
Madagascar,"China, mainland",3015.0
Malawi,"China, mainland",24533.0
Malaysia,"China, mainland",2563187.0
Mali,"China, mainland",93332.0
Malta,"China, mainland",82.0
Mauritius,"China, mainland",1215.0
Mexico,"China, mainland",138947.0
Mongolia,"China, mainland",266275.0
Montenegro,"China, mainland",1149.0
Morocco,"China, mainland",9552.0
Mozambique,"China, mainland",38957.0
Myanmar,"China, mainland",240162.0
Namibia,"China, mainland",120.0
Nepal,"China, mainland",86.0
Netherlands,"China, mainland",2047813.0
New Zealand,"China, mainland",3751641.0
Nicaragua,"China, mainland",4244.0
Niger,"China, mainland",123438.0
Nigeria,"China, mainland",21642.0
North Macedonia,"China, mainland",1729.0
Norway,"China, mainland",8080.0
Oman,"China, mainland",62.0
Pakistan,"China, mainland",313911.0
Panama,"China, mainland",1639.0
Papua New Guinea,"China, mainland",5925.0
Paraguay,"China, mainland",5053.0
Peru,"China, mainland",234118.0
Philippines,"China, mainland",585882.0
Poland,"China, mainland",129125.0
Portugal,"China, mainland",66184.0
Republic of Korea,"China, mainland",816191.0
Republic of Moldova,"China, mainland",8692.0
Romania,"China, mainland",22174.0
Russian Federation,"China, mainland",527397.0
Rwanda,"China, mainland",296.0
Samoa,"China, mainland",136.0
Saudi Arabia,"China, mainland",3614.0
Senegal,"China, mainland",129401.0
Serbia,"China, mainland",73380.0
Singapore,"China, mainland",416822.0
Slovakia,"China, mainland",1504.0
Slovenia,"China, mainland",5472.0
Solomon Islands,"China, mainland",17.0
Somalia,"China, mainland",5044.0
South Africa,"China, mainland",306745.0
Spain,"China, mainland",1378667.0
Sri Lanka,"China, mainland",48266.0
Sudan,"China, mainland",159842.0
Suriname,"China, mainland",103.0
Sweden,"China, mainland",77611.0
Switzerland,"China, mainland",154383.0
Syrian Arab Republic,"China, mainland",2310.0
Tajikistan,"China, mainland",2710.0
Thailand,"China, mainland",5843891.0
Timor-Leste,"China, mainland",226.0
Togo,"China, mainland",102710.0
Tonga,"China, mainland",24.0
Trinidad and Tobago,"China, mainland",21.0
Tunisia,"China, mainland",2354.0
Turkey,"China, mainland",138781.0
Turkmenistan,"China, mainland",37651.0
Uganda,"China, mainland",16211.0
Ukraine,"China, mainland",1269371.0
United Arab Emirates,"China, mainland",12440.0
United Kingdom,"China, mainland",511517.0
United Republic of Tanzania,"China, mainland",128299.0
United States of America,"China, mainland",21792263.0
Unspecified Area,"China, mainland",389580.0
Uruguay,"China, mainland",1377327.0
Uzbekistan,"China, mainland",216669.0
Vanuatu,"China, mainland",271.0
Venezuela (Bolivarian Republic of),"China, mainland",69.0
Viet Nam,"China, mainland",2739226.0
Yemen,"China, mainland",22.0
Zambia,"China, mainland",62285.0
Zimbabwe,"China, mainland",589703.0
"China, mainland",Colombia,94821.0
"China, mainland",Costa Rica,43798.0
"China, mainland",Croatia,9017.0
"China, mainland",Cyprus,3671.0
"China, mainland",Czechia,65632.0
"China, mainland",Côte d'Ivoire,20692.0
"China, mainland",Democratic Republic of the Congo,44.0
"China, mainland",Denmark,92580.0
"China, mainland",Ecuador,24459.0
"China, mainland",Egypt,1268.0
"China, mainland",El Salvador,7121.0
"China, mainland",Estonia,2979.0
"China, mainland",Ethiopia,18579.0
"China, mainland",Fiji,13721.0
"China, mainland",Finland,18065.0
"China, mainland",France,335011.0
"China, mainland",Gambia,3523.0
"China, mainland",Georgia,18506.0
"China, mainland",Germany,1272802.0
"China, mainland",Ghana,77647.0
"China, mainland",Greece,36374.0
"China, mainland",Greenland,285.0
"China, mainland",Guyana,6152.0
"China, mainland",Honduras,9156.0
"China, mainland",Hungary,19973.0
"China, mainland",Iceland,3365.0
"China, mainland",India,534250.0
"China, mainland",Indonesia,1739016.0
"China, mainland",Iran (Islamic Republic of),62.0
"China, mainland",Ireland,34090.0
"China, mainland",Israel,88911.0
"China, mainland",Italy,440782.0
"China, mainland",Jamaica,5202.0
"China, mainland",Japan,5955147.0
"China, mainland",Jordan,43716.0
"China, mainland",Kazakhstan,112533.0
"China, mainland",Kiribati,2807.0
"China, mainland",Kuwait,41714.0
"China, mainland",Kyrgyzstan,40127.0
"China, mainland",Latvia,6756.0
"China, mainland",Lebanon,49704.0
"China, mainland",Lithuania,14914.0
"China, mainland",Luxembourg,165.0
"China, mainland",Madagascar,5525.0
"China, mainland",Malawi,5583.0
"China, mainland",Malaysia,1369871.0
"China, mainland",Maldives,5166.0
"China, mainland",Mali,37682.0
"China, mainland",Malta,2159.0
"China, mainland",Mauritania,22638.0
"China, mainland",Mauritius,24086.0
"China, mainland",Mexico,166505.0
"China, mainland",Mongolia,85175.0
"China, mainland",Montenegro,1101.0
"China, mainland",Morocco,227692.0
"China, mainland",Namibia,7412.0
"China, mainland",Nepal,208.0
"China, mainland",Netherlands,915078.0
"China, mainland",New Zealand,146782.0
"China, mainland",Niger,22312.0
"China, mainland",North Macedonia,5746.0
