,country,CTYNAM,year,IYR,EYR
0,Albania,Austria,2007,15564.0,1135.0
1,Albania,Austria,2008,21511.0,7062.0
2,Albania,Austria,2009,20248.0,5656.0
3,Albania,Austria,2010,24207.0,4146.0
4,Albania,Austria,2011,26356.0,6304.0
5,Albania,Austria,2012,21304.0,6113.0
6,Albania,Austria,2013,22044.0,1459.0
7,Albania,Austria,2014,847.0,111.0
8,Albania,Austria,2015,16333.0,383.0
9,Albania,Austria,2016,17409.0,944.0
10,Albania,Bosnia and Herzegovina,2007,611.0,3258.0
11,Albania,Bosnia and Herzegovina,2008,3162.0,1147.0
12,Albania,Bosnia and Herzegovina,2009,2143.0,561.0
13,Albania,Bosnia and Herzegovina,2010,13489.0,1558.0
14,Albania,Bosnia and Herzegovina,2011,19869.0,1676.0
15,Albania,Bosnia and Herzegovina,2012,17023.0,1163.0
16,Albania,Bosnia and Herzegovina,2013,2954.0,1898.0
17,Albania,Bosnia and Herzegovina,2014,323.0,1537.0
18,Albania,Bosnia and Herzegovina,2015,1658.0,3420.0
19,Albania,Bosnia and Herzegovina,2016,2596.0,5380.0
20,Albania,Bulgaria,2007,37766.0,245.0
21,Albania,Bulgaria,2008,55919.0,360.0
22,Albania,Bulgaria,2009,43494.0,434.0
23,Albania,Bulgaria,2010,31396.0,1376.0
24,Albania,Bulgaria,2011,29530.0,2354.0
25,Albania,Bulgaria,2012,30151.0,2527.0
26,Albania,Bulgaria,2013,32046.0,3204.0
27,Albania,Bulgaria,2014,18239.0,3575.0
28,Albania,Bulgaria,2015,13463.0,6003.0
29,Albania,Bulgaria,2016,14127.0,6070.0
30,Albania,Croatia,2007,3407.0,574.0
31,Albania,Croatia,2008,5291.0,710.0
32,Albania,Croatia,2009,11316.0,344.0
33,Albania,Croatia,2010,15527.0,712.0
34,Albania,Croatia,2011,13439.0,1132.0
35,Albania,Croatia,2012,13508.0,1796.0
36,Albania,Croatia,2013,9150.0,1816.0
37,Albania,Croatia,2014,4159.0,95.0
38,Albania,Croatia,2015,6244.0,1217.0
39,Albania,Croatia,2016,3474.0,1395.0
40,Albania,France,2007,3154.0,1288.0
41,Albania,France,2008,5226.0,1614.0
42,Albania,France,2009,2533.0,1537.0
43,Albania,France,2010,18693.0,1770.0
44,Albania,France,2011,46473.0,1540.0
45,Albania,France,2012,13692.0,2862.0
46,Albania,France,2013,15664.0,4392.0
47,Albania,France,2014,1629.0,1635.0
48,Albania,France,2015,4214.0,2691.0
49,Albania,France,2016,5063.0,3950.0
50,Albania,Germany,2007,25540.0,9495.0
51,Albania,Germany,2008,47239.0,10079.0
52,Albania,Germany,2009,37389.0,6175.0
53,Albania,Germany,2010,37451.0,6541.0
54,Albania,Germany,2011,38765.0,9930.0
55,Albania,Germany,2012,33235.0,8587.0
56,Albania,Germany,2013,33670.0,10727.0
57,Albania,Germany,2014,15835.0,7494.0
58,Albania,Germany,2015,27926.0,8018.0
59,Albania,Germany,2016,32243.0,8506.0
60,Albania,Greece,2007,92186.0,10507.0
61,Albania,Greece,2008,110874.0,7261.0
62,Albania,Greece,2009,117854.0,5133.0
63,Albania,Greece,2010,123856.0,8876.0
64,Albania,Greece,2011,116842.0,11699.0
65,Albania,Greece,2012,110496.0,13123.0
66,Albania,Greece,2013,120162.0,13865.0
67,Albania,Greece,2014,109211.0,6394.0
68,Albania,Greece,2015,96018.0,11450.0
69,Albania,Greece,2016,103002.0,16297.0
70,Albania,Hungary,2007,13781.0,100.0
71,Albania,Hungary,2008,42379.0,179.0
72,Albania,Hungary,2009,20901.0,186.0
73,Albania,Hungary,2010,13022.0,243.0
74,Albania,Hungary,2011,21082.0,606.0
75,Albania,Hungary,2012,16552.0,369.0
