source,target,value,sourcecont,targetcont
Argentina,Afghanistan,1647.0,SA,AS
Brazil,Afghanistan,8546.0,SA,AS
Paraguay,Afghanistan,226.0,SA,AS
Uruguay,Afghanistan,700.0,SA,AS
Argentina,Albania,5715.0,SA,EU
Argentina,Albania,4792.0,SA,EU
Brazil,Albania,40626.0,SA,EU
Brazil,Albania,38404.0,SA,EU
Chile,Albania,17.0,SA,EU
Colombia,Albania,2409.0,SA,EU
Colombia,Albania,731.0,SA,EU
Ecuador,Albania,13020.0,SA,EU
Ecuador,Albania,8287.0,SA,EU
Paraguay,Albania,319.0,SA,EU
Paraguay,Albania,478.0,SA,EU
Uruguay,Albania,173.0,SA,EU
Argentina,Algeria,1321972.0,SA,AF
Argentina,Algeria,1145110.0,SA,AF
Brazil,Algeria,1102820.0,SA,AF
Brazil,Algeria,988952.0,SA,AF
Chile,Algeria,3570.0,SA,AF
Chile,Algeria,2274.0,SA,AF
Colombia,Algeria,5576.0,SA,AF
Colombia,Algeria,267.0,SA,AF
Ecuador,Algeria,138010.0,SA,AF
Ecuador,Algeria,12578.0,SA,AF
Paraguay,Algeria,28149.0,SA,AF
Paraguay,Algeria,12982.0,SA,AF
Peru,Algeria,7.0,SA,AF
Peru,Algeria,10.0,SA,AF
Uruguay,Algeria,56749.0,SA,AF
Uruguay,Algeria,42244.0,SA,AF
Argentina,Antigua and Barbuda,144.0,SA,
Argentina,Antigua and Barbuda,270.0,SA,
Brazil,Antigua and Barbuda,3873.0,SA,
Brazil,Antigua and Barbuda,5015.0,SA,
Chile,Antigua and Barbuda,1057.0,SA,
Chile,Antigua and Barbuda,896.0,SA,
Colombia,Antigua and Barbuda,241.0,SA,
Colombia,Antigua and Barbuda,343.0,SA,
Ecuador,Antigua and Barbuda,24.0,SA,
Ecuador,Antigua and Barbuda,19.0,SA,
Peru,Antigua and Barbuda,453.0,SA,
Peru,Antigua and Barbuda,436.0,SA,
Uruguay,Antigua and Barbuda,120.0,SA,
Uruguay,Antigua and Barbuda,89.0,SA,
Guyana,Antigua and Barbuda,1869.0,SA,
Guyana,Antigua and Barbuda,1930.0,SA,
Argentina,Argentina,10569.0,SA,SA
Brazil,Argentina,547487.0,SA,SA
Brazil,Argentina,528053.0,SA,SA
Chile,Argentina,146814.0,SA,SA
Chile,Argentina,142376.0,SA,SA
Colombia,Argentina,19393.0,SA,SA
Colombia,Argentina,16312.0,SA,SA
Ecuador,Argentina,199975.0,SA,SA
Ecuador,Argentina,144334.0,SA,SA
Paraguay,Argentina,283265.0,SA,SA
Paraguay,Argentina,320861.0,SA,SA
Peru,Argentina,12854.0,SA,SA
Peru,Argentina,12946.0,SA,SA
Uruguay,Argentina,95590.0,SA,SA
Uruguay,Argentina,71826.0,SA,SA
Argentina,Armenia,8413.0,SA,AS
Argentina,Armenia,8010.0,SA,AS
Brazil,Armenia,31021.0,SA,AS
Brazil,Armenia,37504.0,SA,AS
Chile,Armenia,250.0,SA,AS
Chile,Armenia,272.0,SA,AS
Colombia,Armenia,3.0,SA,AS
Colombia,Armenia,58.0,SA,AS
Ecuador,Armenia,318.0,SA,AS
Ecuador,Armenia,114.0,SA,AS
Paraguay,Armenia,152.0,SA,AS
Peru,Armenia,9.0,SA,AS
Argentina,Australia,325051.0,SA,OC
Argentina,Australia,316854.0,SA,OC
Brazil,Australia,137581.0,SA,OC
Brazil,Australia,127690.0,SA,OC
Chile,Australia,82476.0,SA,OC
Chile,Australia,81700.0,SA,OC
Colombia,Australia,44965.0,SA,OC
Colombia,Australia,41882.0,SA,OC
Ecuador,Australia,11580.0,SA,OC
Ecuador,Australia,9828.0,SA,OC
Paraguay,Australia,2719.0,SA,OC
Paraguay,Australia,2517.0,SA,OC
Peru,Australia,30052.0,SA,OC
Peru,Australia,28248.0,SA,OC
Uruguay,Australia,12312.0,SA,OC
Uruguay,Australia,113.0,SA,OC
Guyana,Australia,111.0,SA,OC
Guyana,Australia,110.0,SA,OC
Suriname,Australia,21.0,SA,OC
Argentina,Austria,5555.0,SA,EU
Argentina,Austria,3643.0,SA,EU
Brazil,Austria,13440.0,SA,EU
Brazil,Austria,16562.0,SA,EU
Chile,Austria,13400.0,SA,EU
Chile,Austria,5114.0,SA,EU
Colombia,Austria,1132.0,SA,EU
Colombia,Austria,516.0,SA,EU
Ecuador,Austria,428.0,SA,EU
Ecuador,Austria,617.0,SA,EU
Paraguay,Austria,914.0,SA,EU
Paraguay,Austria,765.0,SA,EU
Peru,Austria,2247.0,SA,EU
Peru,Austria,507.0,SA,EU
Uruguay,Austria,92.0,SA,EU
Guyana,Austria,3.0,SA,EU
Guyana,Austria,1.0,SA,EU
Suriname,Austria,10.0,SA,EU
Argentina,Azerbaijan,220.0,SA,AS
Brazil,Azerbaijan,10422.0,SA,AS
Chile,Azerbaijan,22.0,SA,AS
Colombia,Azerbaijan,26.0,SA,AS
Ecuador,Azerbaijan,5492.0,SA,AS
Paraguay,Azerbaijan,204.0,SA,AS
Argentina,Bahrain,8790.0,SA,AS
Argentina,Bahrain,3551.0,SA,AS
Brazil,Bahrain,83337.0,SA,AS
Brazil,Bahrain,87898.0,SA,AS
Chile,Bahrain,4531.0,SA,AS
Chile,Bahrain,2155.0,SA,AS
Colombia,Bahrain,1324.0,SA,AS
Colombia,Bahrain,704.0,SA,AS
Ecuador,Bahrain,1395.0,SA,AS
Ecuador,Bahrain,967.0,SA,AS
Paraguay,Bahrain,3184.0,SA,AS
Paraguay,Bahrain,2953.0,SA,AS
Peru,Bahrain,1152.0,SA,AS
Peru,Bahrain,453.0,SA,AS
Uruguay,Bahrain,419.0,SA,AS
Uruguay,Bahrain,365.0,SA,AS
Guyana,Bahrain,38.0,SA,AS
Suriname,Bahrain,3.0,SA,AS
Argentina,Bangladesh,484268.0,SA,AS
Brazil,Bangladesh,1029276.0,SA,AS
Chile,Bangladesh,574.0,SA,AS
Colombia,Bangladesh,101.0,SA,AS
Ecuador,Bangladesh,24.0,SA,AS
Paraguay,Bangladesh,136904.0,SA,AS
Peru,Bangladesh,418.0,SA,AS
Uruguay,Bangladesh,8923.0,SA,AS
Guyana,Bangladesh,59.0,SA,AS
Argentina,Barbados,847.0,SA,
Argentina,Barbados,648.0,SA,
Brazil,Barbados,4381.0,SA,
Brazil,Barbados,3128.0,SA,
Chile,Barbados,2984.0,SA,
Chile,Barbados,1470.0,SA,
Colombia,Barbados,660.0,SA,
Colombia,Barbados,579.0,SA,
Ecuador,Barbados,314.0,SA,
Ecuador,Barbados,249.0,SA,
Paraguay,Barbados,121.0,SA,
Peru,Barbados,337.0,SA,
Peru,Barbados,97.0,SA,
Uruguay,Barbados,3603.0,SA,
Uruguay,Barbados,3316.0,SA,
Guyana,Barbados,10106.0,SA,
Guyana,Barbados,11836.0,SA,
Suriname,Barbados,837.0,SA,
Argentina,Belarus,49729.0,SA,EU
Argentina,Belarus,17366.0,SA,EU
