source,target,value
Zimbabwe,South Africa,901404.0
Zimbabwe,"China, mainland",589703.0
Zambia,Zimbabwe,130423.0
Zambia,"China, mainland",62285.0
Yemen,Oman,9119.0
Yemen,Malaysia,6543.0
Western Sahara,Pakistan,7544.0
Western Sahara,Switzerland,786.0
Viet Nam,"China, mainland",2739226.0
Viet Nam,United States of America,2224304.0
Venezuela (Bolivarian Republic of),Japan,21358.0
Venezuela (Bolivarian Republic of),Italy,12147.0
Vanuatu,Philippines,13524.0
Vanuatu,Kiribati,5695.0
Uzbekistan,Kazakhstan,316872.0
Uzbekistan,"China, mainland",216669.0
Uruguay,"China, mainland",1377327.0
Uruguay,Brazil,855559.0
Unspecified Area,United Arab Emirates,665412.0
Unspecified Area,Netherlands,441818.0
United States of America,Canada,23052605.0
United States of America,"China, mainland",21792263.0
United Republic of Tanzania,India,375424.0
United Republic of Tanzania,India,282033.0
United Kingdom,Ireland,4449700.0
United Kingdom,Ireland,4433562.0
United Arab Emirates,Oman,1724293.0
United Arab Emirates,Iran (Islamic Republic of),1473102.0
Ukraine,India,1640083.0
Ukraine,"China, mainland",1269371.0
Uganda,Germany,93204.0
Uganda,Italy,90942.0
Turks and Caicos Islands,Zimbabwe,8638.0
Turks and Caicos Islands,Netherlands,403.0
Turkmenistan,Turkey,182046.0
Turkmenistan,"China, mainland",37651.0
Turkey,Iraq,2896840.0
Turkey,Germany,1323749.0
Tunisia,Italy,231433.0
Tunisia,Italy,215876.0
Trinidad and Tobago,Jamaica,65887.0
Trinidad and Tobago,Guyana,54653.0
Tonga,Japan,1751.0
Tonga,Republic of Korea,1519.0
Tokelau,Bahrain,103.0
Tokelau,Thailand,76.0
Togo,"China, mainland",102710.0
Togo,Benin,38791.0
Timor-Leste,United States of America,5211.0
Timor-Leste,Canada,2395.0
Thailand,"China, mainland",5843891.0
Thailand,"China, mainland",5277507.0
Tajikistan,Turkey,24433.0
Tajikistan,Russian Federation,22146.0
Syrian Arab Republic,Jordan,64607.0
Syrian Arab Republic,Lebanon,61826.0
Switzerland,France,1556018.0
Switzerland,Germany,1547211.0
Sweden,Norway,988564.0
Sweden,Denmark,782116.0
Suriname,Belgium,46366.0
Suriname,Jamaica,16851.0
Sudan,"China, mainland",159842.0
Sudan,United Arab Emirates,81662.0
Sri Lanka,United States of America,170515.0
Sri Lanka,Iran (Islamic Republic of),166473.0
Spain,France,7491580.0
Spain,France,6985555.0
South Sudan,Pakistan,4656.0
South Sudan,Algeria,3554.0
South Africa,Netherlands,1061678.0
South Africa,United Kingdom,784087.0
Somalia,Oman,146004.0
Somalia,India,16750.0
Solomon Islands,Malaysia,15004.0
Solomon Islands,United Kingdom,11759.0
Slovenia,Italy,437768.0
Slovenia,Italy,413382.0
Slovakia,Czechia,693076.0
Slovakia,Czechia,690185.0
Singapore,Viet Nam,1326450.0
Singapore,Malaysia,1041364.0
Sierra Leone,Netherlands,28927.0
Sierra Leone,Belarus,16320.0
Seychelles,Philippines,9094.0
Seychelles,Viet Nam,4121.0
Serbia,Bosnia and Herzegovina,460756.0
Serbia,Bosnia and Herzegovina,452374.0
Senegal,"China, mainland",129401.0
Senegal,Mali,97596.0
Saudi Arabia,United Arab Emirates,747800.0
Saudi Arabia,Kuwait,431327.0
Sao Tome and Principe,Unspecified Area,8467.0
Sao Tome and Principe,Netherlands,5022.0
San Marino,Belarus,4919.0
San Marino,Russian Federation,613.0
Samoa,United States of America,2835.0
Samoa,New Zealand,1542.0
Saint Vincent and the Grenadines,Saint Lucia,7139.0
Saint Vincent and the Grenadines,Barbados,6329.0
Saint Pierre and Miquelon,Senegal,9.0
Saint Pierre and Miquelon,France,1.0
Saint Lucia,Unspecified Area,11162.0
Saint Lucia,United Kingdom,6828.0
Saint Kitts and Nevis,United States of America,911.0
