,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
6,2007,1,OPEC,11588.60337,9336.611302,12058.30328,12614.83768,13950.72076,13194.484779999999,13987.10683,15134.98254,14626.26357,15133.61587,16418.3327,17607.60038,165651.46300000002,2968.4,2890.2,4067.3,3408.1,3506.8,3870.2,3823.2,4421.7,4103.9,4633.3,4937.4,5854.5,48485.0
7,2008,1,OPEC,20302.1,17616.8,18816.3,20936.0,22902.1,24144.6,29249.0,26230.5,18786.5,20430.0,11948.3,11216.5,242578.7,4377.1,4555.9,4540.3,5088.0,4804.6,5238.2,5260.6,6563.5,5734.8,6469.3,6222.1,6025.5,64879.9
8,2009,1,OPEC,7982.701834,6362.960453,7301.915503,7631.575492,7847.126948,9625.768098,10475.97035,10053.9437,11908.148509999999,10343.927759999999,10479.8123,11588.47963,111602.3306,3924.5201899999997,4315.330876,4950.3943469999995,4076.7958909999998,3716.930982,3773.785704,3511.923728,3693.1731590000004,4187.2168,4503.098814,4402.745179,4801.081449,49856.99712
9,2010,1,OPEC,10966.44522,10780.99698,13656.51801,13838.44711,12494.72272,13518.324719999999,12405.38744,13549.15924,13311.7423,10495.17895,11579.24482,13296.926529999999,149893.094,3757.7594289999997,4348.587977,4626.8597119999995,4505.050657,4659.628953,4582.853897999999,4366.733412,4571.31673,4325.123173,4882.549567,4620.67746,4978.648104,54225.789070000006
10,2011,1,OPEC,14357.52669,13499.016419999998,16045.4748,14847.96861,16915.856490000002,18833.21783,17190.24723,18514.74004,16419.59028,14422.884069999998,14734.497019999999,15722.98101,191504.0005,4321.089547,4233.507064,5280.54771,5340.653782,5467.2392820000005,5220.990056000001,5277.592772,5254.338882,5894.593827000001,6344.013736,5483.841604,6506.7499530000005,64625.158220000005
11,2012,1,OPEC,15766.918780000002,12162.501540000001,16584.143969999997,17768.88734,17677.43781,15730.9717,14737.98218,14754.74496,14172.37617,15226.71479,13964.9083,12222.39325,180769.9808,5857.03847,5712.974729,7293.641815999999,6309.664415,6437.792460000001,7212.255348000001,6372.81491,6637.410529,6977.827541,6717.386495000001,7346.5076659999995,8846.750143000001,81722.06452
12,2013,1,OPEC,14317.77425,10382.68983,12670.44543,13515.123730000001,13446.7364,13056.92832,0.0,0.0,0.0,0.0,0.0,0.0,77389.69796,7918.7960140000005,6796.650629000001,8167.005458,6901.690308,7154.2283689999995,7299.083823000001,0.0,0.0,0.0,0.0,0.0,0.0,44237.4546
19,2007,3,European Union,26094.34069,25379.17465,31283.5644,29325.26245,29714.40768,30372.47414,31395.511889999998,30192.762319999998,27175.241,33776.758669999996,31182.36034,28517.40408,354409.2623,19237.50633,18811.204230000003,22717.8198,19819.03356,20837.1031,20515.69474,18695.41688,20125.88107,20445.45624,21552.56851,20734.9947,20673.224459999998,244165.9036
20,2008,3,European Union,27757.79818,30472.96132,31692.06161,32752.32345,32658.059060000003,33387.51657,34822.82205,29706.63838,29150.301139999996,32068.20523,26550.001490000002,26598.75941,367617.4479,21151.38215,23431.00935,23594.56067,23664.395969999998,23797.26435,24834.106040000002,23664.17742,23597.5923,20826.33171,22861.50965,20658.92846,19728.82746,271810.0855
21,2009,3,European Union,21187.93074,21978.44769,24116.07099,23216.88779,20748.75764,23136.8198,25180.3026,22371.78776,23529.03036,25691.621730000003,25270.80749,25372.38215,281800.8467,17666.98748,18678.81587,19834.155769999998,17764.03038,17915.52191,18671.62109,17089.075419999997,16652.4659,18055.91658,20591.1752,18708.030430000003,18971.549759999998,220599.3458
